Epoch: 1, Loss: 8.680411338806152
Epoch: 2, Loss: 8.550904273986816
Epoch: 3, Loss: 8.473408699035645
Epoch: 4, Loss: 8.417118072509766
Epoch: 5, Loss: 8.355401039123535
Epoch: 6, Loss: 8.287023544311523
Epoch: 7, Loss: 8.20661735534668
Epoch: 8, Loss: 8.116493225097656
Epoch: 9, Loss: 8.033764839172363
Epoch: 10, Loss: 7.9551215171813965
Epoch: 11, Loss: 7.866449356079102
Epoch: 12, Loss: 7.7853498458862305
Epoch: 13, Loss: 7.698845863342285
Epoch: 14, Loss: 7.616701602935791
Epoch: 15, Loss: 7.532073497772217
Epoch: 16, Loss: 7.446726322174072
Epoch: 17, Loss: 7.367142677307129
Epoch: 18, Loss: 7.288614749908447
Epoch: 19, Loss: 7.205000400543213
Epoch: 20, Loss: 7.123255252838135
Epoch: 21, Loss: 7.042148113250732
Epoch: 22, Loss: 6.961925029754639
Epoch: 23, Loss: 6.886495113372803
Epoch: 24, Loss: 6.801229953765869
Epoch: 25, Loss: 6.733290672302246
Epoch: 26, Loss: 6.659032821655273
Epoch: 27, Loss: 6.595418453216553
Epoch: 28, Loss: 6.529122352600098
Epoch: 29, Loss: 6.452263832092285
Epoch: 30, Loss: 6.378303527832031
Epoch: 31, Loss: 6.303089618682861
Epoch: 32, Loss: 6.231553077697754
Epoch: 33, Loss: 6.173186302185059
Epoch: 34, Loss: 6.103579044342041
Epoch: 35, Loss: 6.037379264831543
Epoch: 36, Loss: 5.969003200531006
Epoch: 37, Loss: 5.907742500305176
Epoch: 38, Loss: 5.842839241027832
Epoch: 39, Loss: 5.782763957977295
Epoch: 40, Loss: 5.716825008392334
Epoch: 41, Loss: 5.652858734130859
Epoch: 42, Loss: 5.586435794830322
Epoch: 43, Loss: 5.531098365783691
Epoch: 44, Loss: 5.4752936363220215
Epoch: 45, Loss: 5.413022994995117
Epoch: 46, Loss: 5.355833053588867
Epoch: 47, Loss: 5.299008369445801
Epoch: 48, Loss: 5.248755931854248
Epoch: 49, Loss: 5.184553146362305
Epoch: 50, Loss: 5.123456954956055
Epoch: 51, Loss: 5.070102691650391
Epoch: 52, Loss: 5.015428066253662
Epoch: 53, Loss: 4.95945405960083
Epoch: 54, Loss: 4.906559944152832
Epoch: 55, Loss: 4.853861331939697
Epoch: 56, Loss: 4.796758651733398
Epoch: 57, Loss: 4.743112564086914
Epoch: 58, Loss: 4.6891326904296875
Epoch: 59, Loss: 4.638054847717285
Epoch: 60, Loss: 4.592352390289307
Epoch: 61, Loss: 4.526496410369873
Epoch: 62, Loss: 4.480673313140869
Epoch: 63, Loss: 4.4338765144348145
Epoch: 64, Loss: 4.378839492797852
Epoch: 65, Loss: 4.327756404876709
Epoch: 66, Loss: 4.283557415008545
Epoch: 67, Loss: 4.228217124938965
Epoch: 68, Loss: 4.177375793457031
Epoch: 69, Loss: 4.13200569152832
Epoch: 70, Loss: 4.08508825302124
Epoch: 71, Loss: 4.038534164428711
Epoch: 72, Loss: 3.9869182109832764
Epoch: 73, Loss: 3.935110092163086
Epoch: 74, Loss: 3.8834421634674072
Epoch: 75, Loss: 3.8400802612304688
Epoch: 76, Loss: 3.791815757751465
Epoch: 77, Loss: 3.745889902114868
Epoch: 78, Loss: 3.695988416671753
Epoch: 79, Loss: 3.6473588943481445
Epoch: 80, Loss: 3.6042439937591553
Epoch: 81, Loss: 3.5566091537475586
Epoch: 82, Loss: 3.509934186935425
Epoch: 83, Loss: 3.460719585418701
Epoch: 84, Loss: 3.422678232192993
Epoch: 85, Loss: 3.3740487098693848
Epoch: 86, Loss: 3.3266453742980957
Epoch: 87, Loss: 3.2913994789123535
Epoch: 88, Loss: 3.2403900623321533
Epoch: 89, Loss: 3.1961047649383545
Epoch: 90, Loss: 3.1516921520233154
Epoch: 91, Loss: 3.1009669303894043
Epoch: 92, Loss: 3.0616366863250732
Epoch: 93, Loss: 3.0185797214508057
Epoch: 94, Loss: 2.97092604637146
Epoch: 95, Loss: 2.9343132972717285
Epoch: 96, Loss: 2.892786741256714
Epoch: 97, Loss: 2.8543038368225098
Epoch: 98, Loss: 2.8073530197143555
Epoch: 99, Loss: 2.763471841812134
Epoch: 100, Loss: 2.730149745941162
